,t2xco2_index,t2xco2_dist,fdamage,tfp_gr,sigma_gr,pop_gr,fosslim,cback,Atmospheric Temperature 2050,Damages 2050,Utility 2050,Total Output 2050,Atmospheric Temperature 2100,Damages 2100,Utility 2100,Total Output 2100,Atmospheric Temperature 2150,Damages 2150,Utility 2150,Total Output 2150,Atmospheric Temperature 2200,Damages 2200,Utility 2200,Total Output 2200,Atmospheric Temperature 2300,Damages 2300,Utility 2300,Total Output 2300
223,927,2,2,0.0858006205704291,-0.00894279659455956,0.11766138307267446,6284.392618116584,431,2.8913641575779088,1.3123344398870571,-1881.7417148766772,198.14221717431798,6.181285377006017,235.7325716529503,21.177332276797642,205.70684277737593,8.584411451639467,382.97496083976534,281.4846629014419,28.60092582331364,9.479005916467601,387.7031856370078,-258.75910257513715,14.737920981674758,9.809925235073564,641.4210561826524,-685.5036676809386,23.131564789819517
224,927,2,2,0.08191174995952553,-0.008084934216145149,0.11006886032084744,4479.613286572175,309,2.896421300759375,1.3139350059870158,-1895.78382993864,196.20095122336764,6.231121635741202,238.91264672085137,-16.19292320948125,198.53387526764573,8.687054158544084,378.12876047700735,206.28445363754327,27.145893704545763,9.566324506588465,383.6053526057179,-360.10054945277443,14.20868944225591,9.733668400173524,652.0867626795971,-787.4070380858925,25.15848052490086
225,309,2,2,0.08893004653398597,-0.01163991616196677,0.10474055439305115,6249.6900191872355,222,2.680043222023894,0.7746995079083896,-1905.182535425651,195.426682257201,5.293253300784334,134.8116092133758,69.27171044055012,341.7335723819388,6.872456509581644,455.1057731447075,1004.6999146460857,194.26277171315033,7.002492507745195,643.9525296095463,1405.2498692130594,245.05017910923084,6.023169410356199,986.368301673845,1782.2667174006883,1050.3265219017221
226,927,2,2,0.08753614018067712,-0.00897118671080046,0.10000096617113315,5324.889875117597,294,2.881842021531977,1.251353757127773,-1915.362416362187,193.3589709016249,6.132857834031235,226.83331380104465,-48.05194921246493,210.58228483147712,8.509342043240702,391.97476289851335,286.11025291535316,34.43098271338264,9.371442045720897,414.48810904142056,-105.83127115777097,18.97963728308786,9.602320147811461,686.7973417192538,-419.4406821228981,29.756288969743085
227,927,2,2,0.0872648937749094,-0.011762686669724446,0.10003154331319578,10398.600937922223,199,2.853781588417688,1.1721689453319342,-1914.880836209406,193.62621852318358,5.923093009758136,205.58874977425015,-18.112079200244352,243.60404527827697,8.113084744956229,426.8858447896477,532.4704635093867,57.6756980995575,8.97055137654557,483.9410696884175,427.8227377937519,33.367876190303534,9.477632566794444,737.4862661448942,282.0975495420489,36.23013490795046
228,927,2,1,0.07995489336790548,-0.010918226853212353,0.10019046358728483,7037.914045610792,183,2.8613587324476777,6.263779911150327,-1931.731619803968,187.34910372363652,5.977295582916435,86.93640728409379,16.603703793178283,391.2481672909668,8.237447046209772,296.2744148549746,1150.6971409730477,533.1517863797925,8.724712094588282,498.4061334810434,1741.1751624420203,755.4780948518794,7.3232767452993635,679.1895402873729,2200.6088990485987,1744.72416726112
229,927,2,2,0.07624207452325428,-0.00826725293635646,0.10651059618795285,7116.841933308158,102,2.8926436853038586,1.296120779259209,-1901.9860959761963,195.52490232710056,6.207595842621049,236.43728116508464,-23.2381366204977,204.38635727219588,8.646257306080427,392.5621771492249,282.8224304823625,34.137443527375105,9.50069588187802,418.4828293002697,-106.25865676856165,19.23321861767901,9.587150992236825,695.3577103306749,-413.4378265675364,31.438206457662947
230,927,2,2,0.08887773024106231,-0.008165123307154422,0.1024778380134732,6245.841319097888,343,2.8915263644427602,1.284568025951692,-1910.6583287210926,193.97404461396178,6.203673104307059,234.13357191781498,-47.8242896891511,200.10033790870625,8.641908151384358,378.1274735019626,190.78173894573183,27.66677289861829,9.514065648452194,385.0420460726397,-358.6014739313132,14.576368262130828,9.677826798868354,659.7667515053579,-768.534476426124,26.360705748411284
231,927,2,2,0.08247192853473881,-0.008301232532227696,0.10184625431222642,7591.53778557642,445,2.8897538105521483,1.2779004464396773,-1912.2201776925763,193.63775230943526,6.190556398681372,232.40177307148477,-51.52089431237118,200.24910719422985,8.617145613638197,374.4060692601335,172.1968949592224,26.00940194678934,9.49772315032442,374.5818101185122,-432.8818436616566,13.310548818633883,9.720778937081308,645.9717124446926,-880.8808769555872,24.430974718291402
232,927,2,2,0.08243726800488425,-0.008955811130166372,0.10025985708964176,4050.908427817635,293,2.8821387277080253,1.2527196743413662,-1914.845362077614,193.43668146150765,6.134792893135781,227.1012676789861,-47.04796367690233,210.385846876281,8.512788408317116,391.8101224134617,285.4481321192625,34.3159285200911,9.375174933488589,414.0820698251444,-108.79096050412727,18.90405615844188,9.604781618650861,686.2637225135985,-423.96751892145585,29.678265105412045
